time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/entropy_loss,train/loss,train/clip_fraction,train/clip_range,train/n_updates
71,548,145408,264,-99.0,50.0,0.13805752992630005,0.008000718,-0.005221827558125369,1406.5891641616822,0.0003,-1.6109330479055644,638.8168334960938,0.0501953125,0.2,700
72,548,147456,268,-99.5,50.0,0.06650811433792114,0.012745908,-0.0069354778010165315,1392.5611513137817,0.0003,-1.5273117776960135,611.6347045898438,0.06767578125,0.2,710
73,548,149504,272,-100.0,50.0,0.047791242599487305,0.005314906,-0.002964886382687837,1384.7399700164794,0.0003,-1.5209056679159403,625.8780517578125,0.03994140625,0.2,720
74,548,151552,276,-100.0,50.0,0.13378745317459106,0.0052665714,-0.003458764997776598,1368.9171682357787,0.0003,-1.4907092440873384,776.8148803710938,0.041748046875,0.2,730
75,548,153600,279,-100.0,50.0,0.04919999837875366,0.007942833,-0.004226642957655713,1413.8836908340454,0.0003,-1.521709206327796,767.7803344726562,0.06240234375,0.2,740
76,548,155648,283,-99.5,50.0,0.04507559537887573,0.01346896,-0.007180144253652543,1382.5215196609497,0.0003,-1.4696644697338344,623.2215576171875,0.064990234375,0.2,750
77,548,157696,287,-99.5,50.0,0.13963782787322998,0.008993215,-0.0029882147995522247,1308.537151145935,0.0003,-1.5032638676464558,800.98779296875,0.023193359375,0.2,760
78,548,159744,291,-100.0,50.0,0.011172115802764893,0.004959683,-0.003924775120685809,1440.3818557739257,0.0003,-1.4812414892017842,969.9552001953125,0.0384765625,0.2,770
79,548,161792,295,-100.0,50.0,0.0782616138458252,0.005095289,-0.0014914633298758417,1353.6056938171387,0.0003,-1.4899917963892222,860.4992065429688,0.03115234375,0.2,780
80,548,163840,298,-100.0,50.0,0.10518312454223633,0.009805103,-0.0047081661206902934,1437.4283901214599,0.0003,-1.5338347218930721,626.7689819335938,0.046826171875,0.2,790
81,548,165888,302,-99.5,50.0,0.09682011604309082,0.010358024,-0.0020138754916843027,1394.2485305786133,0.0003,-1.5479529570788144,585.7819213867188,0.024267578125,0.2,800
82,548,167936,306,-99.5,50.0,0.0661131739616394,0.006609982,-0.003359737075516023,1495.7665912628174,0.0003,-1.4610932637006044,949.9890747070312,0.040380859375,0.2,810
83,548,169984,309,-100.0,50.0,0.15238463878631592,0.0066175624,-0.00414770748175215,1394.523756790161,0.0003,-1.4270733084529639,744.07861328125,0.051611328125,0.2,820
84,548,172032,313,-100.0,50.0,0.11989808082580566,0.011802601,-0.00394149589119479,1446.3654850006103,0.0003,-1.422700010985136,733.8976440429688,0.067626953125,0.2,830
85,548,174080,317,-100.0,50.0,0.11632716655731201,0.008395363,-0.0030351534820511005,1398.9889335632324,0.0003,-1.4440928772091866,758.7095336914062,0.0373046875,0.2,840
86,548,176128,320,-100.0,50.0,0.12256062030792236,0.005945312,-0.004497391145559959,1431.767704963684,0.0003,-1.4475920651108027,864.794921875,0.054052734375,0.2,850
87,549,178176,324,-100.0,50.0,0.09331798553466797,0.0066046147,-0.0009026616608025506,1434.0557361602782,0.0003,-1.4185575988143682,707.3967895507812,0.02685546875,0.2,860
88,549,180224,328,-99.5,50.0,0.13960862159729004,0.017622646,-0.005107619069167413,1430.8121284484864,0.0003,-1.381222652643919,781.0531616210938,0.084130859375,0.2,870
89,549,182272,331,-99.5,50.0,0.1556612253189087,0.009828056,-0.0029783681718981827,1422.2767944335938,0.0003,-1.3777991417795419,745.9199829101562,0.053271484375,0.2,880
90,548,184320,335,-100.0,50.0,0.14094239473342896,0.0022281157,-0.0006855720173916779,1455.2980737686157,0.0003,-1.3806216936558484,680.173828125,0.011328125,0.2,890
91,548,186368,339,-100.0,50.0,0.11134463548660278,0.013412369,-0.005914907285477966,1352.679207611084,0.0003,-1.3702636055648327,752.9017333984375,0.077490234375,0.2,900
92,549,188416,343,-99.5,50.0,0.11726123094558716,0.0069455532,-0.0016743678133934736,1378.3935764312744,0.0003,-1.3533012341707944,620.7420043945312,0.02783203125,0.2,910
93,549,190464,346,-99.5,50.0,0.13751500844955444,0.013963604,-0.00565892526647076,1370.4349634170533,0.0003,-1.294181114062667,678.2564697265625,0.055029296875,0.2,920
94,549,192512,350,-99.5,50.0,0.1355835199356079,0.008751195,-0.0034366484644124283,1418.827530479431,0.0003,-1.189814868941903,755.768310546875,0.03525390625,0.2,930
95,549,194560,354,-100.0,50.0,0.16403156518936157,0.003242505,-0.0005987074662698432,1363.9530975341797,0.0003,-1.180823989957571,666.9314575195312,0.0302734375,0.2,940
96,549,196608,357,-100.0,50.0,0.13367021083831787,0.006057032,-0.0026286481879651546,1443.6852676391602,0.0003,-1.2016482122242451,791.4860229492188,0.029052734375,0.2,950
97,549,198656,361,-100.0,50.0,0.22220343351364136,0.014563549,-0.004221549810608849,1391.1628118515014,0.0003,-1.141922853514552,764.5863647460938,0.051318359375,0.2,960
98,549,200704,365,-100.0,50.0,0.2363261580467224,0.0026563075,-0.0012459168006898834,1395.4499885559082,0.0003,-1.0636819735169412,541.2717895507812,0.007861328125,0.2,970
99,549,202752,368,-100.0,50.0,0.2739499807357788,0.0024733031,-0.0015163821692112834,1367.7961881637573,0.0003,-1.0904726680368184,573.370361328125,0.033251953125,0.2,980
100,549,204800,372,-100.0,50.0,0.27372264862060547,0.0089685,-0.0020884484663838522,1404.155016708374,0.0003,-1.0265106569975615,577.2628173828125,0.017822265625,0.2,990
101,550,206848,376,-100.0,50.0,0.23695319890975952,0.008643185,-0.006795051429071464,1488.1355489730836,0.0003,-0.8400916799902916,692.1851806640625,0.096337890625,0.2,1000
102,550,208896,379,-100.0,50.0,0.32253092527389526,0.002743147,-0.0016985444846795872,1357.498656463623,0.0003,-0.8567360343411565,802.4083862304688,0.028466796875,0.2,1010
103,550,210944,383,-100.0,50.0,0.3635239005088806,0.0031476566,-0.0013004894644836895,1313.7352069854737,0.0003,-0.8874317839741707,704.743408203125,0.009912109375,0.2,1020
104,550,212992,386,-100.0,50.0,0.23612606525421143,0.0006697654,-0.0008229410042986274,1521.3915086746215,0.0003,-0.814026815071702,835.2706298828125,0.007763671875,0.2,1030
105,550,215040,390,-100.0,50.0,0.30468958616256714,0.0034104038,-0.0038907603855477648,1386.3646385192872,0.0003,-0.7647638002410531,712.1605834960938,0.058984375,0.2,1040
106,550,217088,394,-100.0,50.0,0.28312522172927856,0.0032443833,-0.0043703549396013845,1467.6159561157226,0.0003,-0.8229694137349725,763.40966796875,0.049462890625,0.2,1050
107,550,219136,398,-100.0,50.0,0.3499720096588135,0.0028002285,-0.004654077757732011,1406.2668529510497,0.0003,-0.8667626656591892,905.8856811523438,0.060498046875,0.2,1060
108,550,221184,401,-100.0,50.0,0.32454049587249756,0.0041029784,-0.0008728815097128973,1457.0670936584472,0.0003,-0.8245653068646789,631.907470703125,0.023583984375,0.2,1070
109,550,223232,405,-99.5,50.0,0.28380197286605835,0.00612618,-0.00250304167275317,1489.0283369064332,0.0003,-0.8642498012632132,585.5180053710938,0.03173828125,0.2,1080
110,550,225280,409,-99.5,50.0,0.28909456729888916,0.0048528365,-0.0007360029732808471,1460.6957941055298,0.0003,-0.9173053672537208,1086.7891845703125,0.053955078125,0.2,1090
111,550,227328,413,-100.0,50.0,0.2363482117652893,0.004609109,-0.0010210971522610635,1490.469529914856,0.0003,-0.9090878661721945,605.2762451171875,0.052099609375,0.2,1100
112,550,229376,416,-100.0,50.0,0.2105247974395752,0.009562904,-0.0005233162941294722,1529.0769987106323,0.0003,-0.8670840572565794,791.4219970703125,0.049609375,0.2,1110
113,550,231424,420,-100.0,50.0,0.1650882363319397,0.0072401743,-0.0028904820210300386,1538.8804553985597,0.0003,-0.9095904223620892,719.5208740234375,0.04111328125,0.2,1120
114,550,233472,424,-100.0,50.0,0.0608329176902771,0.01865789,0.008546611334895714,1457.4625568389893,0.0003,-0.9023421389982105,618.0972900390625,0.1267578125,0.2,1130
115,550,235520,427,-100.0,50.0,0.05088448524475098,0.01978719,0.009294930804753677,1454.218720817566,0.0003,-0.8223796723410487,751.9710693359375,0.110888671875,0.2,1140
116,550,237568,431,-100.0,50.0,0.07937413454055786,0.006615264,-0.0049917775511858055,1510.2065729141236,0.0003,-0.8522930128499866,823.7459106445312,0.0390625,0.2,1150
117,550,239616,435,-100.0,50.0,-1.1920928955078125e-07,0.0012316261,0.005620091994933319,1457.3751993179321,0.0003,-0.86416873075068,627.4024658203125,0.08857421875,0.2,1160
118,550,241664,438,-100.0,50.0,0.038832008838653564,0.005878768,0.0019727056060219184,1439.8531301498413,0.0003,-0.9576369188725948,766.9849853515625,0.113623046875,0.2,1170
119,551,243712,442,-100.0,50.0,0.04123717546463013,0.0042533223,0.0007023637008387595,1471.537428855896,0.0003,-0.9650587238371372,920.090087890625,0.03759765625,0.2,1180
120,551,245760,445,-100.0,50.0,0.012737810611724854,0.013475012,-0.0035921977454563604,1433.1238740921021,0.0003,-0.86480428352952,659.1682739257812,0.038720703125,0.2,1190
121,551,247808,449,-100.0,50.0,0.00437617301940918,0.0042012557,0.0018813797854818405,1499.2918977737427,0.0003,-0.8539681512862444,609.709228515625,0.08076171875,0.2,1200
122,551,249856,453,-100.0,50.0,0.048619627952575684,0.012326722,0.0009841723745921626,1445.6773775100708,0.0003,-0.8141043294221163,609.26220703125,0.036669921875,0.2,1210
123,551,251904,456,-100.0,50.0,-0.008060455322265625,0.0034588818,-0.00012002764560747892,1443.4031927108765,0.0003,-0.8036061877384781,791.3734741210938,0.04951171875,0.2,1220
124,551,253952,460,-100.0,50.0,0.0023000240325927734,0.003214583,-0.00020401815854711458,1434.6269527435302,0.0003,-0.7507288822904229,762.8865356445312,0.011279296875,0.2,1230
125,551,256000,463,-100.0,50.0,0.0018467903137207031,0.0018985039,-0.0008191643806640059,1425.450002670288,0.0003,-0.739978201314807,900.9032592773438,0.016015625,0.2,1240
126,552,258048,467,-100.0,50.0,0.0,0.0041767545,0.001562435895903036,1438.8919822692872,0.0003,-0.6874128986150027,873.8505859375,0.056005859375,0.2,1250
127,552,260096,470,-100.0,50.0,0.09568828344345093,0.00052179035,2.607046772027388e-05,1421.6507892608643,0.0003,-0.8057262428104878,1007.3032836914062,0.001708984375,0.2,1260
128,552,262144,474,-100.0,50.0,0.09683215618133545,0.0051554376,-0.0018455701152561232,1426.1444246292115,0.0003,-0.8578440198674798,701.6583251953125,0.02177734375,0.2,1270
129,552,264192,478,-100.0,50.0,0.06541037559509277,0.0032899163,-0.0002285843700519763,1434.2034730911255,0.0003,-0.8532415490597487,870.600830078125,0.04296875,0.2,1280
130,552,266240,481,-100.0,50.0,0.12327653169631958,0.0012299658,0.0007340914060478098,1423.0380828857421,0.0003,-0.7906472215428948,759.3165283203125,0.001220703125,0.2,1290
131,552,268288,485,-100.0,50.0,0.018781006336212158,0.023123126,0.001832749752793461,1487.6075580596923,0.0003,-0.8328263124451041,576.2526245117188,0.052001953125,0.2,1300
132,552,270336,488,-100.0,50.0,0.0,0.010957636,-0.0006389430272975005,1441.9558391571045,0.0003,-0.8338113445788622,765.0447998046875,0.04296875,0.2,1310
133,553,272384,492,-100.0,50.0,0.10739660263061523,0.0027120295,0.001489666852285154,1434.7927724838257,0.0003,-0.7202468136325478,691.8152465820312,0.01513671875,0.2,1320
134,553,274432,496,-100.0,50.0,0.0,0.002335223,0.00020719875174108894,1444.8567502975463,0.0003,-0.682860310561955,757.9331665039062,0.0560546875,0.2,1330
135,553,276480,499,-100.0,50.0,0.07097917795181274,0.0040451265,-0.0008767627354245633,1421.666944885254,0.0003,-0.6670922376215458,630.2815551757812,0.025048828125,0.2,1340
136,553,278528,503,-100.0,50.0,0.0,0.0010392489,0.00019598675426095723,1444.5537252426147,0.0003,-0.6995397709310055,749.2208251953125,0.01455078125,0.2,1350
137,553,280576,507,-100.0,50.0,0.005058228969573975,0.0013202028,-0.0010003351228078828,1426.157584953308,0.0003,-0.719349836371839,660.6646728515625,0.0208984375,0.2,1360
138,553,282624,510,-100.0,50.0,0.05703824758529663,0.0028639052,-0.0013377329043578357,1433.1588977813722,0.0003,-0.7271325305104256,727.108642578125,0.017333984375,0.2,1370
139,553,284672,514,-100.0,50.0,0.03264355659484863,0.005864239,-0.00019107195839751512,1427.8277090072631,0.0003,-0.8150813112035393,597.7095947265625,0.051611328125,0.2,1380
140,553,286720,518,-100.0,50.0,0.0,0.009602203,0.0006022676039719954,1444.363593673706,0.0003,-0.8347248177975416,593.4107666015625,0.060498046875,0.2,1390
141,553,288768,521,-100.0,50.0,0.0,0.011660078,0.0002473798143910244,1444.1445873260498,0.0003,-0.9357013262808322,715.2867431640625,0.0333984375,0.2,1400
142,553,290816,525,-100.0,50.0,0.07846355438232422,0.0015163305,-0.0008713751609320753,1406.8662817001343,0.0003,-0.9964551124721766,899.3048095703125,0.001318359375,0.2,1410
143,553,292864,528,-100.0,50.0,0.028076231479644775,0.0037816898,-0.0014734711294295266,1440.262342071533,0.0003,-0.99188536927104,773.3638916015625,0.0,0.2,1420
144,553,294912,532,-100.0,50.0,0.01988983154296875,0.0026430541,0.0006590996927116066,1431.6003950119018,0.0003,-1.0038022767752408,451.9161071777344,0.0,0.2,1430
145,553,296960,536,-100.0,50.0,0.014143586158752441,0.009028764,0.00011704635398928076,1451.8624477386475,0.0003,-1.0148666519671679,615.3497314453125,0.071923828125,0.2,1440
146,553,299008,540,-100.0,50.0,0.06741225719451904,0.005088686,-0.0021083942090626808,1442.0675523757934,0.0003,-1.0129364350810648,686.3076782226562,0.011279296875,0.2,1450
147,553,301056,543,-100.0,50.0,-1.1920928955078125e-07,0.010424511,0.0012679998384555803,1475.1840187072753,0.0003,-1.0220109255984426,868.4595947265625,0.098974609375,0.2,1460
148,553,303104,547,-100.0,50.0,0.0,0.015680727,-0.007686563757306431,1438.4135555267335,0.0003,-0.925704007782042,657.4639282226562,0.130224609375,0.2,1470
149,553,305152,551,-100.0,50.0,0.0,0.0012371634,-0.0013399648189079017,1436.2203428268433,0.0003,-0.954479057714343,639.0643920898438,0.041943359375,0.2,1480
150,553,307200,554,-100.0,50.0,0.0,0.003615867,-0.000423039382440038,1434.815944480896,0.0003,-0.867916788905859,644.3707885742188,0.057275390625,0.2,1490
151,553,309248,558,-100.0,50.0,-1.1920928955078125e-07,0.003230121,-0.0011900677665835247,1434.0285911560059,0.0003,-0.8830419786274433,859.7744750976562,0.070703125,0.2,1500
152,554,311296,561,-100.0,50.0,0.0,0.008806485,0.001260137525969185,1435.9511096954345,0.0003,-0.9271234771236777,771.6464233398438,0.0552734375,0.2,1510
153,554,313344,565,-100.0,50.0,0.0015277266502380371,0.002115155,-0.0015746010714792647,1432.9787227630616,0.0003,-0.8502264315262437,798.8970947265625,0.009814453125,0.2,1520
154,554,315392,569,-100.0,50.0,0.0,0.0019410978,-0.0006367833324475214,1431.9626783370973,0.0003,-0.8913265142589808,772.2352294921875,0.045166015625,0.2,1530
